"","telepules","ar_e_ft","terulet_m_2","szobak","epites_tipusa","futes","emelet","ing_allapota","lift","megye","egesz_szoba","felszobak_szama","regio"
"93","Budapest VIII ker",29900,25,"1","tégla","villany",3,"felújított","0","Budapest",1,0,"Budapest"
"94","Budapest XVII ker",18990,27,"1","panel","tavfutes",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"95","Budapest XII ker",34900,49,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"96","Budapest XIV ker",37700,47,"1","tégla","gaz",3,"felújított","0","Budapest",1,0,"Budapest"
"97","Budapest IX ker",25500,27,"1","tégla","tavfutes",3,"felújított","0","Budapest",1,0,"Budapest"
"98","Budapest IX ker",29900,29,"1","tégla","egyeb",3,"felújított","1","Budapest",1,0,"Budapest"
"99","Budapest III ker",25900,35,"1","tégla","gaz",3,"felújítandó","0","Budapest",1,0,"Budapest"
"100","Budapest VI ker",44900,51,"1","tégla","gaz",3,"közepes állapotú","1","Budapest",1,0,"Budapest"
"101","Budapest VI ker",47000,44,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"102","Budapest XIII ker",25990,29,"1","tégla","gaz",3,"újszerű","0","Budapest",1,0,"Budapest"
"103","Budapest VI ker",47730,31,"1","tégla","egyeb",3,"új építésű","1","Budapest",1,0,"Budapest"
"104","Budapest VI ker",47730,31,"1","tégla","egyeb",3,"új építésű","1","Budapest",1,0,"Budapest"
"105","Budapest XIV ker",36800,37,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"106","Budapest VI ker",32000,32,"1","tégla","gaz",3,"felújítandó","1","Budapest",1,0,"Budapest"
"107","Budapest VI ker",42200,51,"1","tégla","gaz",3,"jó állapotú","1","Budapest",1,0,"Budapest"
"108","Budapest VI ker",42200,51,"1","tégla","gaz",3,"jó állapotú","1","Budapest",1,0,"Budapest"
"109","Budapest XIV ker",23900,34,"1","tégla","gaz",3,"közepes állapotú","0","Budapest",1,0,"Budapest"
"110","Szolnok",14200,37,"1","tégla","gaz",3,"felújított","0","Jász-Budapestgykun-Szolnok",1,0,"Eszak_Alfold"
"111","Szeged",15900,28,"1","tégla","tavfutes",3,"felújított","0","Csongrád",1,0,"Del_Alfold"
"112","Budapest XVIII ker",19900,28,"1","tégla","kozponti",3,"felújított","0","Budapest",1,0,"Budapest"
"113","Kazincbarcika",7900,38,"1","tégla","tavfutes",3,"közepes állapotú","0","Borsod-Abaúj-Zemplén",1,0,"Eszak_Magyarorszag"
"114","Budapest XIV ker",33500,46,"1","tégla","gaz",3,"közepes állapotú","0","Budapest",1,0,"Budapest"
"115","Budapest XIII ker",27800,36,"1","tégla","tavfutes",3,"közepes állapotú","0","Budapest",1,0,"Budapest"
"116","Budapest XIV ker",24990,31,"1","tégla","gaz",3,"felújított","0","Budapest",1,0,"Budapest"
"117","Budapest XX ker",21990,38,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"118","Budapest VIII ker",27900,39,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"119","Budapest VII ker",26100,28,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"120","Budapest VIII ker",21500,32,"1","tégla","gaz",3,"közepes állapotú","0","Budapest",1,0,"Budapest"
"121","Budapest VII ker",26800,32,"1","tégla","gaz",3,"jó állapotú","1","Budapest",1,0,"Budapest"
"122","Budapest VII ker",26800,32,"1","tégla","gaz",3,"jó állapotú","1","Budapest",1,0,"Budapest"
"123","Salgótarján",5500,39,"1","tégla","gaz",3,"felújítandó","0","Nógrád",1,0,"Eszak_Magyarorszag"
"124","Budapest VIII ker",20900,27,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"125","Budapest IX ker",26500,32,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"126","Budapest IX ker",20550,34,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"127","Budapest VIII ker",31200,36,"1","tégla","gaz",3,"újszerű","0","Budapest",1,0,"Budapest"
"128","Budapest IX ker",39000,44,"1","tégla","gaz",3,"közepes állapotú","1","Budapest",1,0,"Budapest"
"129","Budapest XIV ker",27900,50,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"130","Békéscsaba",11500,39,"1","tégla","gaz",3,"jó állapotú","0","Békés",1,0,"Del_Alfold"
"131","Budapest II ker",33900,32,"1","tégla","gaz",3,"felújított","0","Budapest",1,0,"Budapest"
"132","Budapest IX ker",35000,35,"1","tégla","tavfutes",3,"új építésű","1","Budapest",1,0,"Budapest"
"133","Kecskemét",15500,31,"1","panel","kozponti",3,"felújított","0","Bács-Kiskun",1,0,"Del_Alfold"
"134","Kecskemét",16000,31,"1","panel","kozponti",3,"felújított","0","Bács-Kiskun",1,0,"Del_Alfold"
"135","Balatonföldvár",15090,17,"1","tégla","egyeb",3,"újszerű","1","Somogy",1,0,"Del_Dunantul"
"136","Budapest VI ker",46000,30,"1","tégla","egyeb",3,"új építésű","1","Budapest",1,0,"Budapest"
"137","Budapest XIV ker",23990,33,"1","panel","tavfutes",3,"jó állapotú","1","Budapest",1,0,"Budapest"
"138","Budapest XIV ker",36300,39,"1","tégla","gaz",3,"újszerű","1","Budapest",1,0,"Budapest"
"139","Budapest V ker",69900,45,"1","tégla","gaz",3,"újszerű","0","Budapest",1,0,"Budapest"
"140","Balatonalmádi",19800,37,"1","tégla","gaz",3,"felújított","0","Veszprém",1,0,"Kozep_Dunantul"
"141","Budapest XIV ker",36300,39,"1","tégla","gaz",3,"újszerű","1","Budapest",1,0,"Budapest"
"142","Budapest VIII ker",24200,43,"1","tégla","gaz",3,"felújított","0","Budapest",1,0,"Budapest"
"143","Balatonföldvár",36990,36,"1","tégla","egyeb",3,"új építésű","1","Somogy",1,0,"Del_Dunantul"
"144","Budapest VIII ker",21900,27,"1","tégla","villany",2,"jó állapotú","0","Budapest",1,0,"Budapest"
"145","Budapest XIII ker",22800,23,"1","tégla","gaz",2,"jó állapotú","0","Budapest",1,0,"Budapest"
"146","Budapest XIV ker",28500,35,"1","tégla","tavfutes",2,"jó állapotú","0","Budapest",1,0,"Budapest"
"147","Budapest VIII ker",24600,27,"1","tégla","gaz",2,"újszerű","0","Budapest",1,0,"Budapest"
"148","Budapest VIII ker",21900,27,"1","tégla","villany",2,"jó állapotú","0","Budapest",1,0,"Budapest"
"149","Budapest VII ker",28400,47,"1","tégla","gaz",2,"jó állapotú","0","Budapest",1,0,"Budapest"
"150","Budapest XI ker",28900,27,"1","tégla","gaz",2,"jó állapotú","0","Budapest",1,0,"Budapest"
"151","Budapest II ker",45000,43,"1","tégla","gaz",2,"közepes állapotú","1","Budapest",1,0,"Budapest"
"152","Budapest II ker",45000,43,"1","tégla","gaz",2,"közepes állapotú","1","Budapest",1,0,"Budapest"
"153","Bátonyterenye",5600,32,"1","tégla","gaz",2,"jó állapotú","0","Nógrád",1,0,"Eszak_Magyarorszag"
"154","Budapest III ker",25500,32,"1","panel","kozponti",2,"jó állapotú","1","Budapest",1,0,"Budapest"
"155","Budapest XIII ker",33900,44,"1","tégla","gaz",2,"újszerű","0","Budapest",1,0,"Budapest"
"156","Budapest XV ker",25900,25,"1","tégla","gaz",2,"új építésű","0","Budapest",1,0,"Budapest"
"157","Budapest V ker",19000,19,"1","tégla","kozponti",2,"felújítandó","1","Budapest",1,0,"Budapest"
"158","Budapest VI ker",29900,34,"1","tégla","villany",2,"jó állapotú","0","Budapest",1,0,"Budapest"
"159","Budapest XIII ker",23900,32,"1","tégla","gaz",2,"felújított","1","Budapest",1,0,"Budapest"
"160","Budapest VII ker",26900,27,"1","tégla","gaz",2,"közepes állapotú","0","Budapest",1,0,"Budapest"
"161","Budapest XIII ker",23900,32,"1","tégla","gaz",2,"felújított","1","Budapest",1,0,"Budapest"
"162","Budapest XIII ker",24500,30,"1","panel","tavfutes",2,"jó állapotú","0","Budapest",1,0,"Budapest"
"163","Budapest XX ker",22900,36,"1","tégla","gaz",2,"jó állapotú","0","Budapest",1,0,"Budapest"
"164","Budapest V ker",19000,19,"1","tégla","kozponti",2,"felújított","1","Budapest",1,0,"Budapest"
"165","Budapest IX ker",22900,28,"1","tégla","gaz",2,"jó állapotú","0","Budapest",1,0,"Budapest"
"166","Siófok",17990,38,"1","tégla","gaz",2,"felújítandó","0","Somogy",1,0,"Del_Dunantul"
"167","Budapest XIII ker",32500,41,"1","tégla","tavfutes",2,"közepes állapotú","1","Budapest",1,0,"Budapest"
"168","Budapest VII ker",25900,22,"1","tégla","villany",2,"felújított","0","Budapest",1,0,"Budapest"
"169","Budapest VII ker",27250,24,"1","tégla","villany",2,"felújított","1","Budapest",1,0,"Budapest"
"170","Budapest XVIII ker",19500,28,"1","tégla","tavfutes",2,"felújítandó","0","Budapest",1,0,"Budapest"
"171","Budapest VII ker",27250,24,"1","tégla","villany",2,"felújított","1","Budapest",1,0,"Budapest"
"172","Gárdony",16900,30,"1","tégla","egyeb",2,"felújított","0","Fejér",1,0,"Kozep_Dunantul"
"173","Budapest III ker",19900,25,"1","tégla","gaz",2,"felújított","0","Budapest",1,0,"Budapest"
"174","Budapest VI ker",28900,33,"1","tégla","gaz",2,"felújított","0","Budapest",1,0,"Budapest"
"175","Budapest VI ker",32900,39,"1","tégla","gaz",2,"felújított","1","Budapest",1,0,"Budapest"
"176","Budapest VI ker",32900,39,"1","tégla","gaz",2,"felújított","1","Budapest",1,0,"Budapest"
"177","Budapest X ker",22500,37,"1","tégla","gaz",2,"jó állapotú","0","Budapest",1,0,"Budapest"
"178","Szigetszentmiklós",18500,35,"1","panel","tavfutes",2,"közepes állapotú","0","Pest",1,0,"Pest"
"179","Budapest VII ker",32500,36,"1","tégla","gaz",2,"jó állapotú","0","Budapest",1,0,"Budapest"
"180","Budapest VII ker",28400,47,"1","tégla","gaz",2,"jó állapotú","0","Budapest",1,0,"Budapest"
"181","Budapest XIII ker",33900,44,"1","tégla","gaz",2,"újszerű","0","Budapest",1,0,"Budapest"
"182","Budapest VII ker",27900,39,"1","tégla","gaz",2,"közepes állapotú","0","Budapest",1,0,"Budapest"
"183","Budapest VII ker",25900,26,"1","tégla","gaz",2,"jó állapotú","0","Budapest",1,0,"Budapest"
"184","Budapest VIII ker",30500,55,"1","tégla","gaz",2,"újszerű","1","Budapest",1,0,"Budapest"
"185","Budapest VIII ker",24100,31,"1","tégla","gaz",2,"közepes állapotú","0","Budapest",1,0,"Budapest"
